time	V(vcap)	I(C1)
1.879028706898977e-005	3.355885e+000	-5.587485e-003
1.887600135470406e-005	3.311227e+000	-4.847609e-003
1.896171564041835e-005	3.272929e+000	-4.103911e-003
1.904742992613263e-005	3.240991e+000	-3.356392e-003
1.913314421184691e-005	3.215414e+000	-2.605051e-003
1.917314421184691e-005	3.205704e+000	-2.258330e-003
1.921314421184691e-005	3.197359e+000	-1.913505e-003
1.925314421184691e-005	3.190379e+000	-1.570576e-003
1.929314421184691e-005	3.184763e+000	-1.229543e-003
1.933314421184691e-005	3.180513e+000	-8.904062e-004
1.937314421184691e-005	3.177627e+000	-5.531653e-004
1.941314421184691e-005	3.176106e+000	-2.178205e-004
1.945314421184691e-005	3.175899e+000	1.142578e-004
1.949314421184691e-005	3.177015e+000	4.434281e-004
1.957314421184691e-005	3.183164e+000	1.092194e-003
1.965314421184691e-005	3.194448e+000	1.726820e-003
1.977314421184691e-005	3.220735e+000	2.648783e-003
1.989314421184691e-005	3.257847e+000	3.530309e-003
2.001314421184690e-005	3.305272e+000	4.366728e-003
2.017314421184690e-005	3.387932e+000	5.417625e-003
2.033314421184690e-005	3.482138e+000	6.357420e-003
2.049314421184690e-005	3.587889e+000	7.186114e-003
2.065314421184690e-005	3.705186e+000	7.903706e-003
2.081314421184690e-005	3.834028e+000	8.510196e-003
2.097314421184690e-005	3.974415e+000	9.005585e-003
2.113314421184689e-005	4.126348e+000	9.389873e-003
2.131028706898975e-005	4.301288e+000	9.648917e-003
2.148742992613260e-005	4.473738e+000	9.776799e-003
2.166457278327546e-005	4.643698e+000	9.773519e-003
2.184171564041832e-005	4.811169e+000	9.639077e-003
2.201885849756117e-005	4.976149e+000	9.373473e-003
2.219600135470403e-005	5.138640e+000	8.976707e-003
2.237314421184688e-005	5.298641e+000	8.448780e-003
2.249885849756117e-005	5.403383e+000	8.015088e-003
2.262457278327545e-005	5.501341e+000	7.547458e-003
2.275028706898974e-005	5.592514e+000	7.045888e-003
2.287600135470402e-005	5.676903e+000	6.510378e-003
2.300171564041831e-005	5.754508e+000	5.940929e-003
2.312742992613259e-005	5.825328e+000	5.337541e-003
2.325314421184687e-005	5.889364e+000	4.700213e-003
2.333885849756116e-005	5.927851e+000	4.260168e-003
2.342457278327544e-005	5.962494e+000	3.817822e-003
2.351028706898973e-005	5.993296e+000	3.373175e-003
2.359600135470401e-005	6.020255e+000	2.926226e-003
2.368171564041830e-005	6.043372e+000	2.476976e-003
2.376742992613258e-005	6.062647e+000	2.025424e-003
2.385314421184687e-005	6.078079e+000	1.571571e-003
2.389314421184687e-005	6.083936e+000	1.362134e-003
2.393314421184687e-005	6.088969e+000	1.153844e-003
2.397314421184687e-005	6.093178e+000	9.467000e-004
2.401314421184687e-005	6.096562e+000	7.407030e-004
2.405314421184687e-005	6.099121e+000	5.358528e-004
2.409314421184687e-005	6.100857e+000	3.321492e-004
2.413314421184687e-005	6.101768e+000	1.295924e-004
2.417314421184687e-005	6.101884e+000	-7.098995e-005
2.421314421184686e-005	6.101203e+000	-2.698144e-004
2.429314421184686e-005	6.097473e+000	-6.616759e-004
2.437314421184686e-005	6.090641e+000	-1.044990e-003
2.449314421184686e-005	6.074740e+000	-1.601847e-003
2.461314421184686e-005	6.052300e+000	-2.134267e-003
2.473314421184686e-005	6.023633e+000	-2.639429e-003
2.489314421184686e-005	5.973675e+000	-3.274103e-003
2.505314421184686e-005	5.916746e+000	-3.841656e-003
2.521314421184686e-005	5.852845e+000	-4.342090e-003
2.537314421184685e-005	5.781972e+000	-4.775403e-003
2.553314421184685e-005	5.704128e+000	-5.141596e-003
2.569314421184685e-005	5.619312e+000	-5.440669e-003
2.585314421184685e-005	5.527524e+000	-5.672622e-003
2.603028706898970e-005	5.421842e+000	-5.828901e-003
2.620742992613256e-005	5.317667e+000	-5.905958e-003
2.638457278327542e-005	5.214999e+000	-5.903792e-003
2.656171564041827e-005	5.113838e+000	-5.822405e-003
2.673885849756113e-005	5.014184e+000	-5.661796e-003
2.691600135470398e-005	4.916038e+000	-5.421966e-003
2.709314421184684e-005	4.819398e+000	-5.102913e-003
2.721885849756112e-005	4.756137e+000	-4.840841e-003
2.734457278327540e-005	4.696975e+000	-4.558276e-003
2.747028706898969e-005	4.641911e+000	-4.255219e-003
2.759600135470398e-005	4.590947e+000	-3.931669e-003
2.772171564041826e-005	4.544082e+000	-3.587626e-003
2.784742992613254e-005	4.501316e+000	-3.223090e-003
2.797314421184683e-005	4.462648e+000	-2.838062e-003
2.805885849756111e-005	4.439411e+000	-2.572224e-003
2.814457278327540e-005	4.418494e+000	-2.305001e-003
2.823028706898968e-005	4.399898e+000	-2.036391e-003
2.831600135470397e-005	4.383623e+000	-1.766396e-003
2.840171564041825e-005	4.369670e+000	-1.495014e-003
2.848742992613254e-005	4.358037e+000	-1.222247e-003
2.857314421184682e-005	4.348725e+000	-9.480935e-004
2.861314421184682e-005	4.345192e+000	-8.215829e-004
2.865314421184682e-005	4.342157e+000	-6.957657e-004
2.869314421184682e-005	4.339620e+000	-5.706421e-004
2.873314421184682e-005	4.337581e+000	-4.462120e-004
2.877314421184682e-005	4.336040e+000	-3.224755e-004
2.881314421184682e-005	4.334996e+000	-1.994325e-004
2.885314421184682e-005	4.334451e+000	-7.708300e-005
2.889314421184682e-005	4.334385e+000	4.407297e-005
2.893314421184682e-005	4.334801e+000	1.641663e-004
2.901314421184682e-005	4.337064e+000	4.008547e-004
2.909314421184682e-005	4.341199e+000	6.323771e-004
2.921314421184682e-005	4.350818e+000	9.687126e-004
2.933314421184682e-005	4.364386e+000	1.290281e-003
2.945314421184681e-005	4.381715e+000	1.595378e-003
2.961314421184681e-005	4.411909e+000	1.978680e-003
2.977314421184681e-005	4.446312e+000	2.321432e-003
2.993314421184681e-005	4.484924e+000	2.623635e-003
3.009314421184681e-005	4.527747e+000	2.885289e-003
3.025314421184681e-005	4.574779e+000	3.106393e-003
3.041314421184681e-005	4.626021e+000	3.286947e-003
3.057314421184680e-005	4.681473e+000	3.426952e-003
3.075028706898966e-005	4.745316e+000	3.521233e-003
3.092742992613251e-005	4.808247e+000	3.567664e-003
3.110457278327537e-005	4.870266e+000	3.566245e-003
3.128171564041822e-005	4.931372e+000	3.516976e-003
3.145885849756108e-005	4.991567e+000	3.419857e-003
3.163600135470394e-005	5.050848e+000	3.274888e-003
3.181314421184679e-005	5.109218e+000	3.082068e-003
3.193885849756108e-005	5.147426e+000	2.923703e-003
3.206457278327536e-005	5.183158e+000	2.752964e-003
3.219028706898965e-005	5.216413e+000	2.569852e-003
3.231600135470393e-005	5.247191e+000	2.374366e-003
3.244171564041821e-005	5.275493e+000	2.166506e-003
3.256742992613250e-005	5.301318e+000	1.946273e-003
3.269314421184678e-005	5.324667e+000	1.713666e-003
3.277885849756107e-005	5.338698e+000	1.553069e-003
3.286457278327536e-005	5.351327e+000	1.391638e-003
3.295028706898964e-005	5.362553e+000	1.229372e-003
3.303600135470392e-005	5.372378e+000	1.066272e-003
3.312171564041821e-005	5.380800e+000	9.023365e-004
3.320742992613249e-005	5.387821e+000	7.375668e-004
3.329314421184678e-005	5.393439e+000	5.719625e-004
3.333314421184678e-005	5.395570e+000	4.955436e-004
3.337314421184678e-005	5.397401e+000	4.195442e-004
3.341314421184678e-005	5.398930e+000	3.439642e-004
3.345314421184678e-005	5.400159e+000	2.688037e-004
3.349314421184678e-005	5.401087e+000	1.940626e-004
3.353314421184678e-005	5.401715e+000	1.197410e-004
3.357314421184678e-005	5.402041e+000	4.583878e-005
3.361314421184677e-005	5.402078e+000	-2.734199e-005
3.365314421184677e-005	5.401824e+000	-9.988036e-005
3.373314421184677e-005	5.400452e+000	-2.428426e-004
3.381314421184677e-005	5.397947e+000	-3.826824e-004
3.393314421184677e-005	5.392129e+000	-5.858255e-004
3.405314421184677e-005	5.383925e+000	-7.800446e-004
3.417314421184677e-005	5.373450e+000	-9.643110e-004
3.433314421184677e-005	5.355202e+000	-1.195801e-003
3.449314421184677e-005	5.334412e+000	-1.402793e-003
3.465314421184676e-005	5.311080e+000	-1.585288e-003
3.481314421184676e-005	5.285206e+000	-1.743285e-003
3.497314421184676e-005	5.256790e+000	-1.876786e-003
3.513314421184676e-005	5.225831e+000	-1.985789e-003
3.529314421184676e-005	5.192331e+000	-2.070294e-003
3.547028706898962e-005	5.153763e+000	-2.127173e-003
3.564742992613247e-005	5.115747e+000	-2.155150e-003
3.582457278327533e-005	5.078283e+000	-2.154226e-003
3.600171564041818e-005	5.041372e+000	-2.124400e-003
3.617885849756104e-005	5.005013e+000	-2.065673e-003
3.635600135470390e-005	4.969206e+000	-1.978044e-003
3.653314421184675e-005	4.933951e+000	-1.861514e-003
3.665885849756103e-005	4.910874e+000	-1.765817e-003
3.678457278327532e-005	4.889294e+000	-1.662649e-003
3.691028706898960e-005	4.869210e+000	-1.552009e-003
3.703600135470388e-005	4.850622e+000	-1.433898e-003
3.716171564041817e-005	4.833531e+000	-1.308316e-003
3.728742992613245e-005	4.817936e+000	-1.175262e-003
3.741314421184674e-005	4.803838e+000	-1.034738e-003
3.769314421184674e-005	4.779298e+000	-7.161059e-004
3.776171564041816e-005	4.774662e+000	-6.362553e-004
3.783028706898959e-005	4.770571e+000	-5.566308e-004
3.789885849756102e-005	4.767023e+000	-4.772323e-004
3.796742992613245e-005	4.764019e+000	-3.980598e-004
3.803600135470387e-005	4.761559e+000	-3.191133e-004
3.810457278327531e-005	4.759642e+000	-2.403928e-004
3.817314421184673e-005	4.758270e+000	-1.618983e-004
3.825314421184673e-005	4.757336e+000	-7.181419e-005
3.829314421184673e-005	4.757137e+000	-2.725207e-005
3.833314421184673e-005	4.757117e+000	1.695066e-005
3.837314421184673e-005	4.757272e+000	6.076505e-005
3.845314421184673e-005	4.758104e+000	1.471157e-004
3.853314421184673e-005	4.759620e+000	2.315791e-004
3.865314421184673e-005	4.763140e+000	3.542754e-004
3.877314421184673e-005	4.768100e+000	4.715789e-004
3.889314421184672e-005	4.774433e+000	5.828682e-004
3.905314421184672e-005	4.785461e+000	7.226729e-004
3.921314421184672e-005	4.798025e+000	8.476779e-004
3.937314421184672e-005	4.812123e+000	9.578833e-004
3.953314421184672e-005	4.827757e+000	1.053289e-003
3.969314421184672e-005	4.844925e+000	1.133895e-003
3.985314421184672e-005	4.863629e+000	1.199702e-003
4.001314421184671e-005	4.883867e+000	1.250709e-003
4.019028706898957e-005	4.907167e+000	1.285023e-003
4.036742992613242e-005	4.930132e+000	1.301880e-003
4.054457278327528e-005	4.952763e+000	1.301281e-003
4.072171564041813e-005	4.975059e+000	1.283226e-003
4.089885849756099e-005	4.997021e+000	1.247714e-003
4.107600135470385e-005	5.018649e+000	1.194746e-003
4.125314421184670e-005	5.039943e+000	1.124321e-003
4.137885849756099e-005	5.053880e+000	1.066493e-003
4.150457278327527e-005	5.066914e+000	1.004154e-003
4.163028706898956e-005	5.079044e+000	9.373037e-004
4.175600135470384e-005	5.090269e+000	8.659421e-004
4.188171564041812e-005	5.100590e+000	7.900693e-004
4.200742992613241e-005	5.110008e+000	7.096854e-004
4.213314421184669e-005	5.118521e+000	6.247903e-004
