time	V(vcap)
2.001314421184690e-005	3.305272e+000
2.017314421184690e-005	3.387932e+000
2.033314421184690e-005	3.482138e+000
2.049314421184690e-005	3.587889e+000
2.065314421184690e-005	3.705186e+000
2.081314421184690e-005	3.834028e+000
2.097314421184690e-005	3.974416e+000
2.113314421184689e-005	4.126349e+000
2.131028706898975e-005	4.301289e+000
2.148742992613260e-005	4.473739e+000
2.166457278327546e-005	4.643699e+000
2.184171564041832e-005	4.811169e+000
2.201885849756117e-005	4.976150e+000
2.219600135470403e-005	5.138640e+000
2.237314421184688e-005	5.298641e+000
2.249885849756117e-005	5.403383e+000
2.262457278327545e-005	5.501341e+000
2.275028706898974e-005	5.592515e+000
2.287600135470402e-005	5.676904e+000
2.300171564041831e-005	5.754508e+000
2.312742992613259e-005	5.825329e+000
2.325314421184687e-005	5.889365e+000
2.333885849756116e-005	5.927851e+000
2.342457278327544e-005	5.962495e+000
2.351028706898973e-005	5.993296e+000
2.359600135470401e-005	6.020255e+000
2.368171564041830e-005	6.043372e+000
2.376742992613258e-005	6.062647e+000
2.385314421184687e-005	6.078079e+000
2.389314421184687e-005	6.083936e+000
2.393314421184687e-005	6.088969e+000
2.397314421184687e-005	6.093178e+000
2.401314421184687e-005	6.096562e+000
2.405314421184687e-005	6.099121e+000
2.409314421184687e-005	6.100857e+000
2.413314421184687e-005	6.101768e+000
2.417314421184687e-005	6.101884e+000
2.421314421184686e-005	6.101203e+000
2.429314421184686e-005	6.097473e+000
2.437314421184686e-005	6.090641e+000
2.449314421184686e-005	6.074740e+000
2.461314421184686e-005	6.052300e+000
2.473314421184686e-005	6.023633e+000
2.489314421184686e-005	5.973675e+000
2.505314421184686e-005	5.916745e+000
2.521314421184686e-005	5.852844e+000
2.537314421184685e-005	5.781971e+000
2.553314421184685e-005	5.704127e+000
2.569314421184685e-005	5.619311e+000
2.585314421184685e-005	5.527524e+000
2.603028706898970e-005	5.421841e+000
2.620742992613256e-005	5.317666e+000
2.638457278327542e-005	5.214998e+000
2.656171564041827e-005	5.113837e+000
2.673885849756113e-005	5.014184e+000
2.691600135470398e-005	4.916037e+000
2.709314421184684e-005	4.819398e+000
2.721885849756112e-005	4.756136e+000
2.734457278327540e-005	4.696974e+000
2.747028706898969e-005	4.641911e+000
2.759600135470398e-005	4.590947e+000
2.772171564041826e-005	4.544081e+000
2.784742992613254e-005	4.501315e+000
2.797314421184683e-005	4.462648e+000
2.805885849756111e-005	4.439411e+000
2.814457278327540e-005	4.418494e+000
2.823028706898968e-005	4.399898e+000
2.831600135470397e-005	4.383623e+000
2.840171564041825e-005	4.369670e+000
2.848742992613254e-005	4.358037e+000
2.857314421184682e-005	4.348725e+000
2.861314421184682e-005	4.345192e+000
2.865314421184682e-005	4.342157e+000
2.869314421184682e-005	4.339620e+000
2.873314421184682e-005	4.337581e+000
2.877314421184682e-005	4.336040e+000
2.881314421184682e-005	4.334996e+000
2.885314421184682e-005	4.334451e+000
2.889314421184682e-005	4.334385e+000
2.893314421184682e-005	4.334802e+000
2.901314421184682e-005	4.337064e+000
2.909314421184682e-005	4.341199e+000
2.921314421184682e-005	4.350819e+000
2.933314421184682e-005	4.364386e+000
2.945314421184681e-005	4.381716e+000
2.961314421184681e-005	4.411909e+000
2.977314421184681e-005	4.446312e+000
2.993314421184681e-005	4.484925e+000
3.009314421184681e-005	4.527747e+000
3.025314421184681e-005	4.574780e+000
3.041314421184681e-005	4.626022e+000
3.057314421184680e-005	4.681473e+000
3.075028706898966e-005	4.745317e+000
3.092742992613251e-005	4.808248e+000
3.110457278327537e-005	4.870266e+000
3.128171564041822e-005	4.931373e+000
3.145885849756108e-005	4.991567e+000
3.163600135470394e-005	5.050849e+000
3.181314421184679e-005	5.109218e+000
3.193885849756108e-005	5.147426e+000
3.206457278327536e-005	5.183158e+000
3.219028706898965e-005	5.216413e+000
3.231600135470393e-005	5.247192e+000
3.244171564041821e-005	5.275493e+000
3.256742992613250e-005	5.301318e+000
3.269314421184678e-005	5.324667e+000
3.277885849756107e-005	5.338697e+000
3.286457278327536e-005	5.351326e+000
3.295028706898964e-005	5.362553e+000
3.303600135470392e-005	5.372378e+000
3.312171564041821e-005	5.380800e+000
3.320742992613249e-005	5.387821e+000
3.329314421184678e-005	5.393439e+000
