time,V(vcap),I(C1)
0.000495504572783038,4.999465,0.000001328184
0.000495630287068752,4.999483,0.000001588064
0.000495756001354466,4.999504,0.000001829303
0.000495881715640181,4.999528,0.000002051901
0.000496007429925895,4.999555,0.000002255858
0.000496133144211609,4.999585,0.000002441175
0.00049636171564018,4.999648,0.000002711456
0.000496590287068752,4.999713,0.000002908564
0.000496818858497323,4.999778,0.000003032499
0.000497047429925894,4.999845,0.00000308326
0.000497276001354466,4.999913,0.000003060847
0.000497504572783037,4.999982,0.000002965261
0.000497733144211608,5.000052,0.000002796501
0.000497870287068751,5.00009,0.000002667491
0.000498007429925894,5.000126,0.000002524197
0.000498144572783036,5.000159,0.000002366617
0.000498281715640179,5.00019,0.000002194752
0.000498418858497322,5.000218,0.000002008603
0.000498556001354465,5.000245,0.000001808168
0.000498693144211608,5.000268,0.000001593448
0.000498796001354465,5.000284,0.000001428993
0.000498898858497322,5.000298,0.000001263379
0.000499001715640179,5.00031,0.000001096608
0.000499104572783036,5.00032,0.0000009286794
0.000499207429925893,5.000329,0.0000007595929
0.00049931028706875,5.000336,0.0000005893486
0.000499413144211607,5.000341,0.0000004179466
0.000499504572783036,5.000344,0.000000267618
0.000499596001354464,5.000346,0.0000001203971
0.000499687429925893,5.000346,-0.00000002371631
0.000499778858497321,5.000346,-0.0000001647221
0.00049987028706875,5.000343,-0.0000003026203
0.000499961715640178,5.00034,-0.0000004374109
0.000500053144211607,5.000335,-0.000000569094
0.000500201715640178,5.000325,-0.0000007738388
0.00050035028706875,5.000312,-0.0000009617045
0.000500498858497321,5.000297,-0.000001132691
0.000500647429925892,5.000279,-0.000001286799
0.000500796001354464,5.00026,-0.000001424027
0.000500944572783035,5.000238,-0.000001544376
0.000501093144211606,5.000213,-0.000001647846
0.000501298858497321,5.000176,-0.000001752527
0.000501504572783035,5.000139,-0.00000182226
0.000501710287068749,5.000102,-0.000001857045
0.000501916001354463,5.000066,-0.000001856883
0.000502121715640177,5.000029,-0.000001821772
0.000502327429925891,4.999992,-0.000001751713
0.000502533144211606,4.999955,-0.000001646707
0.000502670287068748,4.999933,-0.000001561895
0.000502807429925891,4.999912,-0.000001469134
0.000502944572783034,4.999893,-0.000001368424
0.000503081715640177,4.999875,-0.000001259764
0.00050321885849732,4.999859,-0.000001143156
0.000503356001354462,4.999844,-0.000001018598
0.000503493144211605,4.99983,-0.0000008860909
0.000503601715640177,4.999821,-0.0000007793677
0.000503710287068748,4.999814,-0.0000006724089
0.000503818858497319,4.999807,-0.0000005652143
0.000503927429925891,4.999801,-0.000000457784
0.000504036001354462,4.999797,-0.0000003501181
0.000504144572783033,4.999794,-0.0000002422164
0.000504253144211605,4.999792,-0.000000134079
0.000504356001354462,4.999791,-0.00000003363081
0.000504458858497319,4.999791,0.00000006383361
0.000504561715640176,4.999792,0.0000001583143
0.000504664572783033,4.999794,0.0000002498112
0.00050476742992589,4.999797,0.0000003383244
0.000504870287068747,4.999801,0.0000004238538
0.000504973144211604,4.999806,0.0000005063995
0.000505190287068747,4.99982,0.0000006672536
0.00050540742992589,4.999836,0.0000008039327
0.000505624572783033,4.999854,0.0000009164369
0.000505841715640175,4.999874,0.000001004766
0.000506058858497318,4.999896,0.00000106892
0.000506276001354461,4.999919,0.0000011089
0.000506493144211604,4.999945,0.000001124704
0.000506664572783032,4.999965,0.000001116511
0.000506836001354461,4.999984,0.000001096234
0.000507007429925889,5.000002,0.000001063873
0.000507178858497318,5.00002,0.000001019429
0.000507350287068746,5.000036,0.0000009629016
0.000507521715640175,5.000052,0.0000008942904
0.000507693144211603,5.000067,0.0000008135956
0.000507824572783031,5.000078,0.0000007468311
0.00050795600135446,5.000087,0.0000006777056
0.000508087429925888,5.000095,0.0000006062193
0.000508218858497317,5.000103,0.0000005323721
0.000508350287068746,5.000109,0.000000456164
0.000508481715640174,5.000115,0.0000003775951
0.000508613144211602,5.000119,0.0000002966653
0.000508733144211602,5.000122,0.0000002230904
0.000508853144211602,5.000125,0.0000001509878
0.000508973144211602,5.000126,0.00000008035768
0.000509093144211602,5.000127,0.00000001119994
0.000509213144211602,5.000126,-0.00000005648538
0.000509333144211602,5.000125,-0.0000001226983
0.000509453144211602,5.000123,-0.0000001874388
0.000509630287068745,5.000119,-0.0000002778625
0.000509807429925888,5.000113,-0.0000003593747
0.00050998457278303,5.000106,-0.0000004319752
0.000510161715640173,5.000098,-0.000000495664
0.000510338858497316,5.000089,-0.0000005504413
0.000510516001354459,5.000079,-0.0000005963068
